Column,Original_Type,Processed_Type,Encoding_Status,Non_Null_Count,Null_Count_Original,Null_Count_Processed,Unique_Values,Sample_Values
Name,object,Categorical,Preserved,12174,0,0,10905,"['Elizabeth Watkins', 'Margaret Galloway']..."
Visit_Date,object,Categorical,Preserved,12174,0,0,4374,"['2025-06-08', '2025-06-04']..."
Visit_Time,object,Categorical,Preserved,12174,0,0,781,"['99:99', '10:47']..."
Age,float64,Numeric,Numeric,12174,0,0,29,"[np.float64(999.0), np.float64(31.0)]..."
Education,object,Categorical,Encoded,12174,0,0,7,"['University Undergraduate', 'Pre-School', 'Primary']"
Height_cm,float64,Numeric,Numeric,12174,0,0,399,"[np.float64(151.1), np.float64(168.1)]..."
Weight_kg,float64,Numeric,Numeric,12174,0,0,681,"[np.float64(82.2), np.float64(64.1)]..."
BMI,float64,Numeric,Numeric,12174,0,0,359,"[np.float64(36.0), np.float64(22.7)]..."
MUAC,float64,Numeric,Numeric,12174,0,0,103,"[np.float64(23.6), np.float64(27.5)]..."
Iron_Supplement,object,Categorical,Encoded,12174,1460,0,2,"['Yes', 'No']"
Anemia,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Sweet food,object,Categorical,Encoded,12174,0,0,3,"['Daily', 'Weekly', 'Monthly']"
Salty food,object,Categorical,Encoded,12174,0,0,3,"['Daily', 'Weekly', 'Monthly']"
Cholesterol-rich food,object,Categorical,Encoded,12174,0,0,3,"['Weekly', 'Monthly', 'Daily']"
Grilled food,object,Categorical,Encoded,12174,0,0,3,"['Weekly', 'Monthly', 'Daily']"
Meat,object,Categorical,Encoded,12174,0,0,3,"['Daily', 'Weekly', 'Monthly']"
Spicy food,object,Categorical,Encoded,12174,0,0,3,"['Weekly', 'Monthly', 'Daily']"
Acute Respiratory Infection,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Diarrhea,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Pneumonia,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Malaria,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Tuberculosis,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Hepatitis,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Cancer,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Diabetic Mellitus,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Hyperthyroid,object,Categorical,Preserved,12174,0,0,2,"['No', 'Yes']"
Hypertension,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
Rheumatic,object,Categorical,Encoded,12174,1460,0,2,"['No', 'Yes']"
Stroke,object,Categorical,Encoded,12174,0,0,2,"['No', 'Yes']"
